Parameters,Min,Dis-Charging Phase & 2mins rest,Charging Phase & 15 min rest,chg_start_overshoot,chg_end_overshoot,post_chg_idle
TS1,20,42.78,49.94,,,
TS2,20,42.86,50.23,,,
TS3,20,42.31,49.43,,,
TS4,20,42.1,49.37,,,
TS5,20,42.87,50.72,,,
TS6,20,41.73,49.16,,,
TS7,20,42.47,49.84,,,
TS8,20,42.77,50.66,,,
TS9,20,42.43,49.9,,,
TS10,20,42.83,49.99,,,
TS11,20,43.04,50.4,,,
TS12,20,42.96,50.36,,,
TS0_FLT,20,43.14,49.95,,,
TS13_FLT,20,42.34,49.65,,,
FET Temp Front,20,40.54,46.48,,,
BAT + ve Temp,20,44.55,48.54,,,
BAT - ve Temp,20,51.43,52.96,,,
Pack + ve Temp,20,43.17,47.54,,,
FET_TEMP_REAR,20,42.32,47.25,,,
BAL_RES_TEMP,20,38.41,44.49,,,
dTS1/dt,-0.025,0.03,,,,
dTS2/dt,-0.025,0.03,,,,
dTS3/dt,-0.025,0.03,,,,
dTS4/dt,-0.025,0.03,,,,
dTS5/dt,-0.025,0.03,,,,
dTS6/dt,-0.025,0.03,,,,
dTS7/dt,-0.025,0.03,,,,
dTS8/dt,-0.025,0.03,,,,
dTS9/dt,-0.025,0.03,,,,
dTS10/dt,-0.025,0.03,,,,
dTS11/dt,-0.025,0.03,,,,
dTS12/dt,-0.025,0.03,,,,
dTS0_FLT/dt,-0.15,0.15,,,,
dTS13_FLT/dt,-0.15,0.15,,,,
d(FET Temp Front)/dt,-0.08,0.1,,,,
d(BAT + ve Temp)/dt,-0.08,0.12,,,,
d(BAT - ve Temp)/dt,-0.08,0.12,,,,
d(Pack + ve Temp)/dt,-0.08,0.12,,,,
d(FET_TEMP_REAR)/dt,-0.08,0.12,,,,
d(BAL_RES_TEMP)/dt,-0.08,0.12,,,,
delta_temperature,0,5,,,,
Delta Voltage,0,0.0394,0.035,0.08,0.08,0.005
SoC,48,52,,,,
