Parameters,Min,Dis-Charging Phase & 2mins rest,Charging Phase & 15 min rest,chg_start_overshoot,chg_end_overshoot,post_chg_idle
TS1,20,39.27,44.47,,,
TS2,20,40.37,45.6,,,
TS3,20,39.5,44.63,,,
TS4,20,38.16,44.02,,,
TS5,20,39.4,45.3,,,
TS6,20,38.3,44.28,,,
TS7,20,38.46,44.49,,,
TS8,20,39.21,45.09,,,
TS9,20,37.57,43.55,,,
TS10,20,38.39,43.78,,,
TS11,20,40.26,45.59,,,
TS12,20,40.49,45.85,,,
TS0_FLT,20,37.85,43.39,,,
TS13_FLT,20,39.79,45.16,,,
FET Temp Front,20,34.94,40.46,,,
BAT + ve Temp,20,36.9,41.18,,,
BAT - ve Temp,20,39.94,43.07,,,
Pack + ve Temp,20,36.66,41.16,,,
FET_TEMP_REAR,20,35.13,40.47,,,
BAL_RES_TEMP,20,34.58,39.03,,,
dTS1/dt,-0.025,0.03,,,,
dTS2/dt,-0.025,0.03,,,,
dTS3/dt,-0.025,0.03,,,,
dTS4/dt,-0.025,0.03,,,,
dTS5/dt,-0.025,0.03,,,,
dTS6/dt,-0.025,0.03,,,,
dTS7/dt,-0.025,0.03,,,,
dTS8/dt,-0.025,0.03,,,,
dTS9/dt,-0.025,0.03,,,,
dTS10/dt,-0.025,0.03,,,,
dTS11/dt,-0.025,0.03,,,,
dTS12/dt,-0.025,0.03,,,,
dTS0_FLT/dt,-0.15,0.15,,,,
dTS13_FLT/dt,-0.15,0.15,,,,
d(FET Temp Front)/dt,-0.08,0.1,,,,
d(BAT + ve Temp)/dt,-0.08,0.12,,,,
d(BAT - ve Temp)/dt,-0.08,0.12,,,,
d(Pack + ve Temp)/dt,-0.08,0.12,,,,
d(FET_TEMP_REAR)/dt,-0.08,0.12,,,,
d(BAL_RES_TEMP)/dt,-0.08,0.12,,,,
delta_temperature,0,5,,,,
Delta Voltage,0,0.0313,0.0279,0.08,0.08,0.0051
SoC,48,52,,,,
